seq,target_order,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,ring_id,is_medoid,dist_to_medoid_ly,dist2_to_medoid,moi_metric,system_name,body_name,ring_name
1,1,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,83b29ef45f92bbd7afe1893945b260bcc2331536,true,0.000000,0.000000,0.999764,Dryooe Flyou AA-A g1274,Dryooe Flyou AA-A g1274 1,Dryooe Flyou AA-A g1274 1 C Ring
1,2,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,e42c7d1c178e59291f12ed16fb25493a6f8f2060,false,525.333572,275975.362305,0.999867,Eol Flyou FG-Y g522,Eol Flyou FG-Y g522 1,Eol Flyou FG-Y g522 1 C Ring
1,3,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,12eab04c6976182a0387b4522a810c9fce0d2c35,false,705.824947,498188.855469,0.999976,Eol Flyou TP-E d12-2121,Eol Flyou TP-E d12-2121 7,Eol Flyou TP-E d12-2121 7 A Ring
1,4,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,6d0fdd597855da1978deda046f10494b49ea2d1f,false,882.763635,779271.635742,0.999746,Eol Flyou ZQ-I c24-129,Eol Flyou ZQ-I c24-129 5,Eol Flyou ZQ-I c24-129 5 C Ring
1,5,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,2cbe733071ea6eca25b1fca6585bc3f24a10d6b7,false,922.354055,850737.001953,0.999934,Brambai AQ-Y f250,Brambai AQ-Y f250 1,Brambai AQ-Y f250 1 A Ring
1,6,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,1bbe68fed72e05de8083a1735e7a41ad67d7018d,false,930.021474,864939.942383,0.999969,Voqaa IH-V f2-714,Voqaa IH-V f2-714 2,Voqaa IH-V f2-714 2 B Ring
1,7,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,c8111bdd346ad3deed58b976eb8f5808b130db5a,false,943.454804,890106.966797,0.999949,Eol Flyou AZ-C c14-326,Eol Flyou AZ-C c14-326 5,Eol Flyou AZ-C c14-326 5 B Ring
1,8,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,deb31d3bcc2f7400ce16e61ddbc7992c194e8673,false,1013.885181,1027963.160156,0.999952,Eol Flyou FG-Y f635,Eol Flyou FG-Y f635 2,Eol Flyou FG-Y f635 2 C Ring
1,9,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,03f374bbf0c372472844118390631f084297d5b2,false,1023.618273,1047794.369141,0.999561,Eol Flyou RJ-V c17-135,Eol Flyou RJ-V c17-135 7,Eol Flyou RJ-V c17-135 7 C Ring
1,10,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,40994d12e131900b7ab81ae3b1867535fa64ed17,false,1024.205880,1048997.685547,0.999829,Eephaills EV-O d6-61,Eephaills EV-O d6-61 14,Eephaills EV-O d6-61 14 B Ring
1,11,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,727d0709860bbdca2df7d92debde52b164657e3f,false,1054.678271,1112346.255859,0.999635,Voqaa JH-V f2-967,Voqaa JH-V f2-967 1,Voqaa JH-V f2-967 1 B Ring
1,12,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,c0ab8f364e53093b020bb9c81faafa977b138138,false,1180.534156,1393660.892578,0.999950,Brambue DL-Y g298,Brambue DL-Y g298 5,Brambue DL-Y g298 5 B Ring
1,13,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,dac5097a5666481da629f65b3a2669760cc0067b,false,1256.877746,1579741.668945,0.998887,Voqaa FB-X f1-611,Voqaa FB-X f1-611 2,Voqaa FB-X f1-611 2 B Ring
1,14,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,c796be5cce47eec7ef7ffb9ac1691040f600a30d,false,1409.982792,1988051.474609,0.999944,Mylaifaa EG-Y g27,Mylaifaa EG-Y g27 A 1,Mylaifaa EG-Y g27 A 1 C Ring
1,15,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,44eb55b46f1511958698de9716d028d91fea19ef,false,1689.494028,2854390.071289,0.999857,Brambue GH-V f2-169,Brambue GH-V f2-169 1,Brambue GH-V f2-169 1 A Ring
1,16,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,34edfb5954047bde96c8ab7cf2ba722f509d9cf9,false,1729.337463,2990608.060547,0.999954,Eorgh Prou AA-A h97,Eorgh Prou AA-A h97 B 2,Eorgh Prou AA-A h97 B 2 A Ring
1,17,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,63e6fa61961997a3221a93940b6557b4babb5d88,false,1882.068075,3542180.237305,0.999930,Oephaif ED-X c16-113,Oephaif ED-X c16-113 6,Oephaif ED-X c16-113 6 B Ring
1,18,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,34a39d99fbbd5a1d0fd1d935855302ad86026ee5,false,1942.064898,3771616.067383,0.999848,Dryaea Aob JR-E c14-54,Dryaea Aob JR-E c14-54 4,Dryaea Aob JR-E c14-54 4 C Ring
1,19,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,51dabfe13fdc8333d530b1443e533e1600b943ce,false,1968.300536,3874207.001953,0.999543,Sphoetz IH-V f2-106,Sphoetz IH-V f2-106 2,Sphoetz IH-V f2-106 2 A Ring
1,20,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,21a4918fbd5a493fa0810216f141cdf1013a6e65,false,1974.754077,3899653.665039,0.999814,Eorgh Prou FC-U d3-401,Eorgh Prou FC-U d3-401 A 9,Eorgh Prou FC-U d3-401 A 9 B Ring
1,21,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,428a0b7a89bc1f977a0628b99644e46cdf4d973d,false,2291.821825,5252447.276367,0.998490,Bramba IH-V f2-165,Bramba IH-V f2-165 A 3,Bramba IH-V f2-165 A 3 B Ring
1,22,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,5739de82ac2df9e30d439cc0f743081967651a27,false,2343.935827,5494035.159180,0.999804,Dryu Scroi SS-O b47-7,Dryu Scroi SS-O b47-7 5,Dryu Scroi SS-O b47-7 5 C Ring
1,23,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,f5ea49c623aa798c687d5c5b167f34081ff6c1f6,false,2852.790523,8138413.770508,0.999963,Oob Auf FG-Y f33,Oob Auf FG-Y f33 1,Oob Auf FG-Y f33 1 B Ring
1,24,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,b99ae1fb86da9018f104e8dd0bf12e994bf75b3c,false,2860.654971,8183346.865234,0.999730,Oephaivsky EQ-X d1-154,Oephaivsky EQ-X d1-154 5,Oephaivsky EQ-X d1-154 5 B Ring
